"time";"level";"processed_jobs";"open_jobs";"type";"message";"data"
0.2012;2;0;0;"job_submission_received";"Received job submission from Batsim (job=<Job w0!6; number:6 queue:6 sub:0.2 reqtime:10 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0} start:None fin:None stat:SUBMITTED ret:None comment:None>, open_jobs_in_queue=5)";"{'job': {'id': 'w0!6', 'workload_name': 'w0', 'number': '6', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 6, 'submit_time': 0.2, 'requested_time': 10, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0}, 'profile_name': '1', 'start_time': None, 'finish_time': None, 'state': 'SUBMITTED', 'success': False, 'return_code': None, 'comment': None}, 'open_jobs_in_queue': 5}"
0.2012;2;0;0;"job_submission_received";"Received job submission from Batsim (job=<Job w0!7; number:7 queue:7 sub:0.2 reqtime:10 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0} start:None fin:None stat:SUBMITTED ret:None comment:None>, open_jobs_in_queue=6)";"{'job': {'id': 'w0!7', 'workload_name': 'w0', 'number': '7', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 7, 'submit_time': 0.2, 'requested_time': 10, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0}, 'profile_name': '1', 'start_time': None, 'finish_time': None, 'state': 'SUBMITTED', 'success': False, 'return_code': None, 'comment': None}, 'open_jobs_in_queue': 6}"
0.2012;2;0;0;"job_submission_received";"Received job submission from Batsim (job=<Job w0!8; number:8 queue:8 sub:0.2 reqtime:10 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0} start:None fin:None stat:SUBMITTED ret:None comment:None>, open_jobs_in_queue=7)";"{'job': {'id': 'w0!8', 'workload_name': 'w0', 'number': '8', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 8, 'submit_time': 0.2, 'requested_time': 10, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0}, 'profile_name': '1', 'start_time': None, 'finish_time': None, 'state': 'SUBMITTED', 'success': False, 'return_code': None, 'comment': None}, 'open_jobs_in_queue': 7}"
0.2012;2;0;0;"job_submission_received";"Received job submission from Batsim (job=<Job w0!9; number:9 queue:9 sub:0.2 reqtime:10 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0} start:None fin:None stat:SUBMITTED ret:None comment:None>, open_jobs_in_queue=8)";"{'job': {'id': 'w0!9', 'workload_name': 'w0', 'number': '9', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 9, 'submit_time': 0.2, 'requested_time': 10, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0}, 'profile_name': '1', 'start_time': None, 'finish_time': None, 'state': 'SUBMITTED', 'success': False, 'return_code': None, 'comment': None}, 'open_jobs_in_queue': 8}"
0.204;2;0;0;"job_completion_received";"Job has completed its execution (<Job w0!2; number:2 queue:1 sub:0.1 reqtime:10 res:6 prof:{'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0} start:0.1018 fin:0.204 stat:COMPLETED_SUCCESSFULLY ret:0 comment:None>)";"{'job': {'id': 'w0!2', 'workload_name': 'w0', 'number': '2', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 1, 'submit_time': 0.1, 'requested_time': 10, 'requested_resources': 6, 'profile': {'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0}, 'profile_name': '1', 'start_time': 0.1018, 'finish_time': 0.204, 'state': 'COMPLETED_SUCCESSFULLY', 'success': True, 'return_code': 0, 'comment': None}}"
0.204;2;0;0;"job_completed";"Remove completed job and free resources: <Job w0!2; number:2 queue:1 sub:0.1 reqtime:10 res:6 prof:{'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0} start:0.1018 fin:0.204 stat:COMPLETED_SUCCESSFULLY ret:0 comment:None>";"{'job': {'id': 'w0!2', 'workload_name': 'w0', 'number': '2', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 1, 'submit_time': 0.1, 'requested_time': 10, 'requested_resources': 6, 'profile': {'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0}, 'profile_name': '1', 'start_time': 0.1018, 'finish_time': 0.204, 'state': 'COMPLETED_SUCCESSFULLY', 'success': True, 'return_code': 0, 'comment': None}}"
0.204;2;0;0;"job_scheduled";"Scheduled job (<Job w0!3; number:3 queue:2 sub:0.1 reqtime:50 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 500000000.0, 'com': 0, 'ret': 0} start:None fin:None stat:SUBMITTED ret:None comment:None>)";"{'job': {'id': 'w0!3', 'workload_name': 'w0', 'number': '3', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 2, 'submit_time': 0.1, 'requested_time': 50, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 500000000.0, 'com': 0, 'ret': 0}, 'profile_name': '5', 'start_time': None, 'finish_time': None, 'state': 'SUBMITTED', 'success': False, 'return_code': None, 'comment': None}}"
0.204;2;0;0;"job_scheduled";"Scheduled job (<Job w0!10; number:10 queue:3 sub:0.2 reqtime:10 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0} start:None fin:None stat:SUBMITTED ret:None comment:None>)";"{'job': {'id': 'w0!10', 'workload_name': 'w0', 'number': '10', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 3, 'submit_time': 0.2, 'requested_time': 10, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0}, 'profile_name': '1', 'start_time': None, 'finish_time': None, 'state': 'SUBMITTED', 'success': False, 'return_code': None, 'comment': None}}"
0.204;2;0;0;"job_scheduled";"Scheduled job (<Job w0!4; number:4 queue:4 sub:0.2 reqtime:10 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0} start:None fin:None stat:SUBMITTED ret:None comment:None>)";"{'job': {'id': 'w0!4', 'workload_name': 'w0', 'number': '4', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 4, 'submit_time': 0.2, 'requested_time': 10, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0}, 'profile_name': '1', 'start_time': None, 'finish_time': None, 'state': 'SUBMITTED', 'success': False, 'return_code': None, 'comment': None}}"
0.204;2;0;0;"job_scheduled";"Scheduled job (<Job w0!5; number:5 queue:5 sub:0.2 reqtime:10 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0} start:None fin:None stat:SUBMITTED ret:None comment:None>)";"{'job': {'id': 'w0!5', 'workload_name': 'w0', 'number': '5', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 5, 'submit_time': 0.2, 'requested_time': 10, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0}, 'profile_name': '1', 'start_time': None, 'finish_time': None, 'state': 'SUBMITTED', 'success': False, 'return_code': None, 'comment': None}}"
0.204;2;0;0;"job_scheduled";"Scheduled job (<Job w0!6; number:6 queue:6 sub:0.2 reqtime:10 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0} start:None fin:None stat:SUBMITTED ret:None comment:None>)";"{'job': {'id': 'w0!6', 'workload_name': 'w0', 'number': '6', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 6, 'submit_time': 0.2, 'requested_time': 10, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0}, 'profile_name': '1', 'start_time': None, 'finish_time': None, 'state': 'SUBMITTED', 'success': False, 'return_code': None, 'comment': None}}"
0.204;2;0;0;"job_scheduled";"Scheduled job (<Job w0!7; number:7 queue:7 sub:0.2 reqtime:10 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0} start:None fin:None stat:SUBMITTED ret:None comment:None>)";"{'job': {'id': 'w0!7', 'workload_name': 'w0', 'number': '7', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 7, 'submit_time': 0.2, 'requested_time': 10, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0}, 'profile_name': '1', 'start_time': None, 'finish_time': None, 'state': 'SUBMITTED', 'success': False, 'return_code': None, 'comment': None}}"
0.3132;2;0;0;"job_completion_received";"Job has completed its execution (<Job w0!10; number:10 queue:3 sub:0.2 reqtime:10 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0} start:0.204 fin:0.3068 stat:COMPLETED_SUCCESSFULLY ret:0 comment:None>)";"{'job': {'id': 'w0!10', 'workload_name': 'w0', 'number': '10', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 3, 'submit_time': 0.2, 'requested_time': 10, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0}, 'profile_name': '1', 'start_time': 0.204, 'finish_time': 0.3068, 'state': 'COMPLETED_SUCCESSFULLY', 'success': True, 'return_code': 0, 'comment': None}}"
0.3132;2;0;0;"job_completed";"Remove completed job and free resources: <Job w0!10; number:10 queue:3 sub:0.2 reqtime:10 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0} start:0.204 fin:0.3068 stat:COMPLETED_SUCCESSFULLY ret:0 comment:None>";"{'job': {'id': 'w0!10', 'workload_name': 'w0', 'number': '10', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 3, 'submit_time': 0.2, 'requested_time': 10, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0}, 'profile_name': '1', 'start_time': 0.204, 'finish_time': 0.3068, 'state': 'COMPLETED_SUCCESSFULLY', 'success': True, 'return_code': 0, 'comment': None}}"
0.3132;2;0;0;"job_scheduled";"Scheduled job (<Job w0!8; number:8 queue:8 sub:0.2 reqtime:10 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0} start:None fin:None stat:SUBMITTED ret:None comment:None>)";"{'job': {'id': 'w0!8', 'workload_name': 'w0', 'number': '8', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 8, 'submit_time': 0.2, 'requested_time': 10, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0}, 'profile_name': '1', 'start_time': None, 'finish_time': None, 'state': 'SUBMITTED', 'success': False, 'return_code': None, 'comment': None}}"
0.3132;2;0;0;"job_completion_received";"Job has completed its execution (<Job w0!4; number:4 queue:4 sub:0.2 reqtime:10 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0} start:0.204 fin:0.3084 stat:COMPLETED_SUCCESSFULLY ret:0 comment:None>)";"{'job': {'id': 'w0!4', 'workload_name': 'w0', 'number': '4', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 4, 'submit_time': 0.2, 'requested_time': 10, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0}, 'profile_name': '1', 'start_time': 0.204, 'finish_time': 0.3084, 'state': 'COMPLETED_SUCCESSFULLY', 'success': True, 'return_code': 0, 'comment': None}}"
0.3132;2;0;0;"job_completed";"Remove completed job and free resources: <Job w0!4; number:4 queue:4 sub:0.2 reqtime:10 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0} start:0.204 fin:0.3084 stat:COMPLETED_SUCCESSFULLY ret:0 comment:None>";"{'job': {'id': 'w0!4', 'workload_name': 'w0', 'number': '4', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 4, 'submit_time': 0.2, 'requested_time': 10, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0}, 'profile_name': '1', 'start_time': 0.204, 'finish_time': 0.3084, 'state': 'COMPLETED_SUCCESSFULLY', 'success': True, 'return_code': 0, 'comment': None}}"
0.3132;2;0;0;"job_scheduled";"Scheduled job (<Job w0!9; number:9 queue:9 sub:0.2 reqtime:10 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0} start:None fin:None stat:SUBMITTED ret:None comment:None>)";"{'job': {'id': 'w0!9', 'workload_name': 'w0', 'number': '9', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 9, 'submit_time': 0.2, 'requested_time': 10, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0}, 'profile_name': '1', 'start_time': None, 'finish_time': None, 'state': 'SUBMITTED', 'success': False, 'return_code': None, 'comment': None}}"
0.3132;2;0;0;"job_completion_received";"Job has completed its execution (<Job w0!5; number:5 queue:5 sub:0.2 reqtime:10 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0} start:0.204 fin:0.31 stat:COMPLETED_SUCCESSFULLY ret:0 comment:None>)";"{'job': {'id': 'w0!5', 'workload_name': 'w0', 'number': '5', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 5, 'submit_time': 0.2, 'requested_time': 10, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0}, 'profile_name': '1', 'start_time': 0.204, 'finish_time': 0.31, 'state': 'COMPLETED_SUCCESSFULLY', 'success': True, 'return_code': 0, 'comment': None}}"
0.3132;2;0;0;"job_completed";"Remove completed job and free resources: <Job w0!5; number:5 queue:5 sub:0.2 reqtime:10 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0} start:0.204 fin:0.31 stat:COMPLETED_SUCCESSFULLY ret:0 comment:None>";"{'job': {'id': 'w0!5', 'workload_name': 'w0', 'number': '5', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 5, 'submit_time': 0.2, 'requested_time': 10, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0}, 'profile_name': '1', 'start_time': 0.204, 'finish_time': 0.31, 'state': 'COMPLETED_SUCCESSFULLY', 'success': True, 'return_code': 0, 'comment': None}}"
0.3132;2;0;0;"job_completion_received";"Job has completed its execution (<Job w0!6; number:6 queue:6 sub:0.2 reqtime:10 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0} start:0.204 fin:0.3116 stat:COMPLETED_SUCCESSFULLY ret:0 comment:None>)";"{'job': {'id': 'w0!6', 'workload_name': 'w0', 'number': '6', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 6, 'submit_time': 0.2, 'requested_time': 10, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0}, 'profile_name': '1', 'start_time': 0.204, 'finish_time': 0.3116, 'state': 'COMPLETED_SUCCESSFULLY', 'success': True, 'return_code': 0, 'comment': None}}"
0.3132;2;0;0;"job_completed";"Remove completed job and free resources: <Job w0!6; number:6 queue:6 sub:0.2 reqtime:10 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0} start:0.204 fin:0.3116 stat:COMPLETED_SUCCESSFULLY ret:0 comment:None>";"{'job': {'id': 'w0!6', 'workload_name': 'w0', 'number': '6', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 6, 'submit_time': 0.2, 'requested_time': 10, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0}, 'profile_name': '1', 'start_time': 0.204, 'finish_time': 0.3116, 'state': 'COMPLETED_SUCCESSFULLY', 'success': True, 'return_code': 0, 'comment': None}}"
0.3132;2;0;0;"job_completion_received";"Job has completed its execution (<Job w0!7; number:7 queue:7 sub:0.2 reqtime:10 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0} start:0.204 fin:0.3132 stat:COMPLETED_SUCCESSFULLY ret:0 comment:None>)";"{'job': {'id': 'w0!7', 'workload_name': 'w0', 'number': '7', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 7, 'submit_time': 0.2, 'requested_time': 10, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0}, 'profile_name': '1', 'start_time': 0.204, 'finish_time': 0.3132, 'state': 'COMPLETED_SUCCESSFULLY', 'success': True, 'return_code': 0, 'comment': None}}"
0.3132;2;0;0;"job_completed";"Remove completed job and free resources: <Job w0!7; number:7 queue:7 sub:0.2 reqtime:10 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0} start:0.204 fin:0.3132 stat:COMPLETED_SUCCESSFULLY ret:0 comment:None>";"{'job': {'id': 'w0!7', 'workload_name': 'w0', 'number': '7', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 7, 'submit_time': 0.2, 'requested_time': 10, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0}, 'profile_name': '1', 'start_time': 0.204, 'finish_time': 0.3132, 'state': 'COMPLETED_SUCCESSFULLY', 'success': True, 'return_code': 0, 'comment': None}}"
0.417;2;0;0;"job_completion_received";"Job has completed its execution (<Job w0!8; number:8 queue:8 sub:0.2 reqtime:10 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0} start:0.3132 fin:0.4154 stat:COMPLETED_SUCCESSFULLY ret:0 comment:None>)";"{'job': {'id': 'w0!8', 'workload_name': 'w0', 'number': '8', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 8, 'submit_time': 0.2, 'requested_time': 10, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0}, 'profile_name': '1', 'start_time': 0.3132, 'finish_time': 0.4154, 'state': 'COMPLETED_SUCCESSFULLY', 'success': True, 'return_code': 0, 'comment': None}}"
0.417;2;0;0;"job_completed";"Remove completed job and free resources: <Job w0!8; number:8 queue:8 sub:0.2 reqtime:10 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0} start:0.3132 fin:0.4154 stat:COMPLETED_SUCCESSFULLY ret:0 comment:None>";"{'job': {'id': 'w0!8', 'workload_name': 'w0', 'number': '8', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 8, 'submit_time': 0.2, 'requested_time': 10, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0}, 'profile_name': '1', 'start_time': 0.3132, 'finish_time': 0.4154, 'state': 'COMPLETED_SUCCESSFULLY', 'success': True, 'return_code': 0, 'comment': None}}"
0.417;2;0;0;"job_completion_received";"Job has completed its execution (<Job w0!9; number:9 queue:9 sub:0.2 reqtime:10 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0} start:0.3132 fin:0.417 stat:COMPLETED_SUCCESSFULLY ret:0 comment:None>)";"{'job': {'id': 'w0!9', 'workload_name': 'w0', 'number': '9', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 9, 'submit_time': 0.2, 'requested_time': 10, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0}, 'profile_name': '1', 'start_time': 0.3132, 'finish_time': 0.417, 'state': 'COMPLETED_SUCCESSFULLY', 'success': True, 'return_code': 0, 'comment': None}}"
