Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum
Fcfs_with_a_score_x0_x1000_x1000,11973,385600.000000,19335.419922,231502992.000000,461679.000000,23129.855469,276933760.000000,760400.000000,1060522.000000,246103504.000000,240709.000000,1001109.000000,5.676734,5.553609,340.915405,340.915405
Fcfs_with_a_score_x0_x1000_x1500,11973,385794.000000,23817.613281,285168288.000000,461873.000000,27606.769531,330535840.000000,725970.000000,1060716.000000,245386256.000000,211957.000000,937927.000000,7.252300,7.033538,329.462250,329.462250
Fcfs_with_a_score_x0_x1000_x2000,11973,541716.000000,27565.929688,330046880.000000,617795.000000,31352.978516,375389216.000000,702920.000000,1216638.000000,244995840.000000,209545.000000,912465.000000,8.139318,7.941834,506.915405,506.915405
Fcfs_with_a_score_x0_x1500_x0,11973,14769.000000,2832.328857,33911472.000000,129926.000000,7099.961426,85007840.000000,5324160.000000,742122.000000,332488704.000000,1343186.000000,6667346.000000,4.839167,3.492929,110.969696,32.273335
Fcfs_with_a_score_x0_x1500_x500,11973,234458.000000,12577.050781,150585024.000000,310537.000000,16385.849609,196187776.000000,849190.000000,909380.000000,247595568.000000,324277.000000,1173467.000000,3.697642,3.593949,200.592148,200.592148
Fcfs_with_a_score_x0_x1500_x1000,11973,385600.000000,19335.419922,231502992.000000,461679.000000,23129.855469,276933760.000000,760400.000000,1060522.000000,246103504.000000,240709.000000,1001109.000000,5.676734,5.553609,340.915405,340.915405
Fcfs_with_a_score_x0_x1500_x1500,11973,385794.000000,23817.613281,285168288.000000,461873.000000,27606.769531,330535840.000000,725970.000000,1060716.000000,245386256.000000,211957.000000,937927.000000,7.252300,7.033538,329.462250,329.462250
Fcfs_with_a_score_x0_x1500_x2000,11973,541716.000000,27565.929688,330046880.000000,617795.000000,31352.978516,375389216.000000,702920.000000,1216638.000000,244995840.000000,209545.000000,912465.000000,8.139318,7.941834,506.915405,506.915405
Fcfs_with_a_score_x0_x2000_x0,11973,14755.000000,2804.575684,33579184.000000,129913.000000,7071.937012,84672304.000000,5320140.000000,742109.000000,332405248.000000,1344052.000000,6664192.000000,4.737612,3.434696,93.116882,32.273335
Fcfs_with_a_score_x0_x2000_x500,11973,234458.000000,12577.050781,150585024.000000,310537.000000,16385.849609,196187776.000000,849190.000000,909380.000000,247595568.000000,324277.000000,1173467.000000,3.697642,3.593949,200.592148,200.592148
Fcfs_with_a_score_x0_x2000_x1000,11973,385600.000000,19335.419922,231502992.000000,461679.000000,23129.855469,276933760.000000,760400.000000,1060522.000000,246103504.000000,240709.000000,1001109.000000,5.676734,5.553609,340.915405,340.915405
Fcfs_with_a_score_x0_x2000_x1500,11973,385794.000000,23817.613281,285168288.000000,461873.000000,27606.769531,330535840.000000,725970.000000,1060716.000000,245386256.000000,211957.000000,937927.000000,7.252300,7.033538,329.462250,329.462250
Fcfs_with_a_score_x0_x2000_x2000,11973,541716.000000,27565.929688,330046880.000000,617795.000000,31352.978516,375389216.000000,702920.000000,1216638.000000,244995840.000000,209545.000000,912465.000000,8.139318,7.941834,506.915405,506.915405
